Lon,Lat,Station_name,Station_id,Time,Year,MAM,JJA,SON,DJF,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
121.514853,25.037658,TAIPEI,466920,1897,21.8,20.3,27.3,23.8,16.1,16.8,13.1,17.3,18.8,24.7,26.7,27.9,27.4,26.9,23.8,20.6,16.5,
121.514853,25.037658,TAIPEI,466920,1898,21.8,21.2,27.1,23.2,15.1,15.6,16.2,18.4,19.8,25.5,26.2,27.7,27.3,26.0,23.0,20.5,15.6,
121.514853,25.037658,TAIPEI,466920,1899,21.4,20.2,27.3,21.9,15.9,14.9,14.9,16.6,20.3,23.6,25.6,28.6,27.6,25.2,21.6,18.8,18.8,
121.514853,25.037658,TAIPEI,466920,1900,21.7,20.8,27.4,23.0,15.2,14.6,14.1,16.0,21.8,24.6,25.9,28.0,28.1,25.5,23.6,19.9,17.6,
121.514853,25.037658,TAIPEI,466920,1901,21.2,21.0,27.0,22.1,15.3,17.1,10.2,16.9,22.0,24.0,26.1,27.6,27.2,24.6,22.8,18.9,15.8,
121.514853,25.037658,TAIPEI,466920,1902,22.0,21.9,27.4,22.7,15.0,16.1,13.6,18.9,22.0,24.9,26.4,27.9,27.8,24.6,22.4,21.1,17.2,
121.514853,25.037658,TAIPEI,466920,1903,21.2,20.8,26.9,22.5,15.6,14.0,13.7,18.1,21.2,23.3,25.9,27.4,27.2,26.0,23.2,18.5,15.8,
121.514853,25.037658,TAIPEI,466920,1904,21.3,20.5,26.4,22.8,15.0,15.0,16.1,16.4,21.8,23.5,25.8,26.6,26.9,26.2,23.4,18.8,14.8,
121.514853,25.037658,TAIPEI,466920,1905,21.6,19.8,27.5,23.0,15.8,17.0,13.1,16.0,18.9,24.4,26.7,28.0,27.9,26.6,23.3,19.0,18.1,
121.514853,25.037658,TAIPEI,466920,1906,21.9,20.9,28.3,22.9,15.4,14.7,14.6,16.1,21.5,25.1,28.1,28.2,28.5,27.7,22.4,18.6,16.6,
121.514853,25.037658,TAIPEI,466920,1907,21.6,19.8,27.1,24.2,15.7,15.6,13.9,16.6,19.7,23.0,25.7,27.2,28.3,26.4,25.0,21.1,16.1,
121.514853,25.037658,TAIPEI,466920,1908,21.8,19.9,27.2,23.7,16.7,16.2,14.9,16.3,20.0,23.3,26.2,28.4,27.0,26.8,24.4,19.9,18.3,
121.514853,25.037658,TAIPEI,466920,1909,22.1,19.9,28.4,23.9,15.5,16.2,15.4,16.7,20.5,22.5,27.7,28.8,28.7,27.1,24.5,20.2,16.4,
121.514853,25.037658,TAIPEI,466920,1910,21.6,20.2,28.1,22.6,15.5,15.0,14.9,17.3,19.6,23.8,27.6,28.7,27.9,26.3,21.9,19.7,15.9,
121.514853,25.037658,TAIPEI,466920,1911,21.7,20.3,28.0,22.4,16.2,14.8,15.7,17.3,20.3,23.4,28.1,28.4,27.3,26.8,21.4,18.9,17.9,
121.514853,25.037658,TAIPEI,466920,1912,21.6,20.8,27.2,22.5,15.9,14.7,15.9,17.2,21.3,24.0,26.1,28.4,27.2,25.8,22.4,19.2,17.1,
121.514853,25.037658,TAIPEI,466920,1913,21.8,20.6,27.9,23.0,15.6,15.4,15.2,16.0,21.7,24.0,27.5,28.1,28.2,26.7,22.1,20.2,15.7,
121.514853,25.037658,TAIPEI,466920,1914,22.1,21.2,27.5,23.3,16.5,15.4,15.8,18.1,21.3,24.1,26.5,28.0,28.0,25.9,24.0,20.0,17.7,
121.514853,25.037658,TAIPEI,466920,1915,22.4,20.5,28.4,24.4,16.4,15.6,16.0,16.7,22.1,22.7,27.1,29.2,28.8,26.2,25.4,21.7,17.4,
121.514853,25.037658,TAIPEI,466920,1916,22.0,20.7,27.5,23.3,14.8,15.9,15.7,15.3,21.7,25.2,26.9,28.3,27.4,27.2,23.1,19.6,17.2,
121.514853,25.037658,TAIPEI,466920,1917,20.9,19.2,27.6,23.0,13.3,13.3,13.7,15.4,19.6,22.5,27.3,27.2,28.2,27.0,23.1,18.8,14.0,
121.514853,25.037658,TAIPEI,466920,1918,21.3,20.3,27.3,22.7,15.8,11.2,14.7,16.3,21.3,23.2,26.7,28.2,27.1,25.5,22.4,20.4,18.5,
121.514853,25.037658,TAIPEI,466920,1919,21.6,21.1,28.4,22.0,15.0,14.8,13.9,18.8,20.9,23.8,27.9,28.7,28.4,25.0,22.1,18.8,15.5,
121.514853,25.037658,TAIPEI,466920,1920,21.8,19.8,27.4,23.7,16.5,14.2,15.4,17.2,19.2,23.0,26.2,27.7,28.3,27.0,23.0,21.2,18.5,
121.514853,25.037658,TAIPEI,466920,1921,21.7,20.8,27.8,21.9,16.5,16.0,14.8,17.0,22.0,23.4,26.8,28.0,28.8,25.1,21.5,19.3,17.0,
121.514853,25.037658,TAIPEI,466920,1922,21.9,20.9,27.6,22.6,15.3,16.0,16.5,17.3,20.7,24.7,26.4,28.7,27.7,26.1,22.9,18.6,16.1,
121.514853,25.037658,TAIPEI,466920,1923,21.7,21.3,27.5,22.4,16.0,15.3,14.2,18.5,21.0,24.4,26.1,28.5,27.8,25.0,22.1,20.3,16.6,
121.514853,25.037658,TAIPEI,466920,1924,21.7,21.1,27.0,22.8,14.9,16.1,15.1,16.5,21.0,25.7,25.6,28.1,27.2,26.0,23.8,18.7,15.7,
121.514853,25.037658,TAIPEI,466920,1925,21.3,19.9,27.8,22.6,15.2,15.1,13.9,17.4,18.0,24.4,26.7,28.3,28.4,25.7,21.7,20.4,15.3,
121.514853,25.037658,TAIPEI,466920,1926,21.6,20.0,27.5,23.2,15.0,15.0,15.5,16.7,18.9,24.3,25.3,28.7,28.5,27.3,22.3,20.0,15.7,
121.514853,25.037658,TAIPEI,466920,1927,21.4,19.5,27.7,22.6,16.1,14.7,14.3,15.9,19.5,23.1,26.4,28.2,28.5,25.3,23.0,19.7,17.1,
121.514853,25.037658,TAIPEI,466920,1928,21.8,20.6,27.2,22.8,16.4,16.2,15.0,17.2,20.4,24.1,25.4,29.0,27.3,26.2,22.0,20.3,17.8,
121.514853,25.037658,TAIPEI,466920,1929,21.8,20.5,27.7,22.5,16.3,15.9,15.3,17.3,20.0,24.2,27.5,28.0,27.6,25.9,22.8,18.8,18.3,
121.514853,25.037658,TAIPEI,466920,1930,22.1,21.8,27.6,23.2,16.2,14.5,16.1,17.2,22.7,25.4,26.7,27.8,28.1,26.9,23.1,19.5,17.2,
121.514853,25.037658,TAIPEI,466920,1931,22.0,20.8,27.8,23.4,15.1,15.6,15.6,17.3,20.8,24.4,26.5,28.4,28.3,27.0,22.0,21.2,16.9,
121.514853,25.037658,TAIPEI,466920,1932,21.7,20.9,27.8,23.0,15.6,15.0,13.1,16.1,20.8,25.9,26.8,28.5,28.1,26.1,22.8,20.1,16.7,
121.514853,25.037658,TAIPEI,466920,1933,22.0,21.0,28.1,23.2,14.8,14.5,15.7,16.2,22.0,24.9,27.1,28.4,28.7,27.3,22.8,19.4,16.6,
121.514853,25.037658,TAIPEI,466920,1934,21.7,20.1,28.2,23.3,16.3,12.9,14.9,16.2,19.8,24.2,27.0,28.3,29.2,27.6,22.4,19.8,18.2,
121.514853,25.037658,TAIPEI,466920,1935,22.1,21.2,27.6,23.9,15.2,14.6,15.9,18.3,20.6,24.7,26.3,28.4,27.9,25.3,25.1,21.2,16.4,
121.514853,25.037658,TAIPEI,466920,1936,21.6,19.8,28.2,22.7,16.3,14.4,14.6,15.1,20.6,23.7,27.4,29.0,28.2,26.1,22.2,19.8,17.9,
121.514853,25.037658,TAIPEI,466920,1937,22.2,21.0,27.6,24.2,15.8,16.3,14.7,17.2,20.8,24.8,26.1,28.8,27.9,27.6,23.9,21.1,16.8,
121.514853,25.037658,TAIPEI,466920,1938,22.2,21.2,28.0,23.4,16.3,15.6,15.0,17.2,21.3,25.2,28.6,27.9,27.5,26.6,24.3,19.1,17.7,
121.514853,25.037658,TAIPEI,466920,1939,21.5,20.0,27.0,23.3,15.6,15.6,15.4,16.8,19.7,23.6,26.0,27.2,27.9,25.8,23.5,20.7,16.1,
